artist_name,artist_id,danceability,energy,valence,tempo_norm,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,duration_ms,popularity,count
Frank Sinatra,792507,0.344916573,0.236623554,0.353345838,0.450884281,0.623679988,1,0.454545455,0.73860237,0.021433693,0.229358801,0.028256573,0.089991567,0.321041762,1
Vladimir Horowitz,119107,0.298105276,0.117154819,0.208056367,0.363928884,0.40862837,1,0.090909091,0.994046603,0.903913536,0.179126633,0.021565916,0.138515395,0.044350343,0.881578947
Johnny Cash,816890,0.61184601,0.448513472,0.685619198,0.478517232,0.688228105,1,0.909090909,0.68839013,0.023274975,0.239902916,0.080248313,0.073118471,0.328569511,0.80628655
Billie Holiday,79016,0.558344521,0.199883749,0.494758629,0.449350562,0.648871599,1,0.454545455,0.91214713,0.013426122,0.214402702,0.041968101,0.087452214,0.192851908,0.799707602
Bob Dylan,66915,0.490242723,0.477135347,0.550421362,0.541808354,0.698080704,1,0.636363636,0.564825652,0.035160771,0.309317304,0.044217897,0.132351092,0.380997603,0.79751462
The Rolling Stones,894465,0.50368237,0.719719881,0.659015688,0.528177341,0.778922974,1,0,0.294967335,0.181024725,0.267155588,0.030209567,0.115411008,0.426838433,0.755847953
The Beach Boys,41874,0.479292954,0.531468828,0.636566233,0.54085172,0.728416148,1,0.818181818,0.400087991,0.118564139,0.186799704,0.022219324,0.064692058,0.345157364,0.725877193
Elvis Presley,180228,0.471238015,0.425382626,0.623220601,0.458325956,0.656879407,1,0,0.744389156,0.055110966,0.245211004,0.037525123,0.06931225,0.412245916,0.722953216
Wolfgang Amadeus Mozart,26350,0.30960342,0.136227226,0.317890036,0.441908453,0.481398517,1,0.636363636,0.965434197,0.523001837,0.184343483,0.048443369,0.17813283,0.110321409,0.68494152
Miles Davis,423829,0.430830991,0.30700995,0.409610025,0.470053501,0.617522254,0,0,0.65834384,0.21076362,0.216519336,0.03355912,0.224749432,0.280249771,0.630847953
Ella Fitzgerald,184502,0.3957171,0.24025314,0.381500634,0.444518288,0.648330274,1,0,0.835756533,0.005199937,0.209862452,0.039892907,0.104994287,0.263965781,0.630116959
Dean Martin,813392,0.437933625,0.218185342,0.469459072,0.456529408,0.618754228,1,0.636363636,0.870075743,0.026669045,0.174316374,0.021950397,0.072100119,0.238035627,0.626461988
Queen,858827,0.429576813,0.602023508,0.425930788,0.487785159,0.730750213,1,0.181818182,0.284322844,0.032623809,0.267237149,0.051173705,0.116766597,0.401824513,0.626461988
Lata Mangeshkar,132940,0.476361427,0.301427775,0.652365699,0.480680484,0.671116546,1,0.090909091,0.949785055,0.269698381,0.20452532,0.066565447,0.105711557,0.05048011,0.624269006
Glenn Gould,803752,0.317147086,0.220769892,0.646948356,0.451224321,0.434521333,1,0.636363636,0.984252276,0.89038404,0.132736756,0.025906428,0.091707254,0.229472152,0.606725146
The Beatles,754032,0.500879601,0.546201554,0.621550741,0.512870282,0.734274236,1,0,0.361802497,0.053346487,0.219889055,0.032301046,0.08066326,0.593342634,0.600877193
Fleetwood Mac,182900,0.564049262,0.516577243,0.609194162,0.525436757,0.679057935,1,0.818181818,0.361210582,0.133955209,0.241566685,0.019466987,0.122426488,0.430547801,0.581140351
Led Zeppelin,139026,0.386980637,0.688570851,0.502166228,0.500422034,0.721749944,1,0.181818182,0.224434178,0.162816936,0.223354317,0.04158153,0.176491583,0.51132296,0.493421053
Bob Marley & the Wailers,69402,0.751412074,0.546988743,0.757742985,0.508453896,0.734682627,1,0.818181818,0.205063433,0.029272721,0.289378595,0.138919604,0.142878238,0.53249399,0.442251462
Nina Simone,411761,0.412959821,0.330323808,0.448095407,0.475348977,0.645208095,1,0.818181818,0.78307034,0.039540576,0.289818999,0.037415219,0.117553843,0.354010718,0.415204678
Elton John,796734,0.502912439,0.585480442,0.528278107,0.552523184,0.734925073,1,0,0.352367433,0.011862717,0.219266321,0.020518624,0.146319951,0.470266041,0.414473684
Stevie Wonder,622805,0.542845254,0.5249783,0.617701491,0.471518093,0.677787323,1,0.090909091,0.344588998,0.025823125,0.178498897,0.033616866,0.126105748,0.425687197,0.39619883
Marvin Gaye,316834,0.522794014,0.556693959,0.653168698,0.48484482,0.708959224,0,0,0.4249434,0.140865508,0.22795938,0.028577062,0.116479328,0.399822332,0.395467836
Leonard Bernstein,239859,0.27605706,0.210282656,0.221395532,0.422222645,0.501422665,1,0.454545455,0.878938923,0.520053616,0.224388763,0.066539681,0.178995079,0.13381712,0.394736842
The Who,577627,0.444231793,0.723640884,0.499910485,0.547975984,0.755043226,1,0.181818182,0.224790341,0.071317244,0.250559231,0.042095804,0.121853202,0.367510368,0.377923977
Willie Nelson,583959,0.547398376,0.37304924,0.494526898,0.480172748,0.656304502,1,0.181818182,0.609817673,0.037499314,0.208400977,0.02406475,0.090859752,0.392712454,0.375730994
Grateful Dead,988440,0.542480799,0.517133641,0.632236431,0.510493176,0.676953195,1,0.818181818,0.439615714,0.138008887,0.328529179,0.023632871,0.183201778,0.399995187,0.374269006
John Coltrane,175553,0.430672672,0.355063799,0.425149531,0.48606854,0.649556666,1,0,0.683952011,0.149638952,0.172987598,0.032208069,0.242104927,0.280583614,0.369152047
Thelonious Monk,490416,0.530006543,0.285337413,0.39066576,0.469289287,0.622466368,1,0.454545455,0.822168331,0.511284808,0.137379848,0.0389338,0.156073645,0.228231626,0.358187135
Vicente Fern脙隆ndez,197424,0.440348743,0.398779935,0.573514982,0.483994505,0.791450031,1,0.636363636,0.566299936,0.004704497,0.247521828,0.020003186,0.08736595,0.467217047,0.356725146
Oscar Peterson,489316,0.540436193,0.168648207,0.385455236,0.410756683,0.492723012,1,0,0.932091368,0.787923189,0.117124534,0.025849273,0.104145314,0.181983505,0.351608187
Metallica,446509,0.318361192,0.904169904,0.326851615,0.535651237,0.815824119,1,0.363636364,0.020140282,0.234366638,0.348694918,0.082053232,0.203354186,0.494190269,0.347222222
U2,219203,0.412889687,0.679860378,0.432321972,0.545723421,0.727957919,1,0.727272727,0.124007028,0.131959441,0.304242428,0.023906605,0.137730483,0.498234376,0.328947368
David Bowie,531986,0.473472101,0.594763174,0.545905196,0.522515353,0.6962142,1,0,0.255599003,0.078522548,0.205299447,0.039116062,0.123602413,0.51516913,0.325292398
Waylon Jennings,200791,0.586326699,0.490748517,0.641798013,0.475298469,0.671198945,1,0.181818182,0.494985319,0.087779209,0.220377119,0.016120976,0.083494383,0.377999723,0.324561404
The Kinks,100160,0.529465144,0.707735365,0.680228813,0.518309166,0.772185813,1,0.636363636,0.297476209,0.023032922,0.178761741,0.034279358,0.088044499,0.370091056,0.322368421
Red Hot Chili Peppers,883318,0.530176557,0.82332669,0.506223958,0.489806928,0.833207812,1,0,0.056916189,0.077791836,0.176864409,0.058163981,0.122751833,0.589830317,0.319444444
Javier Sol脙颅s,216348,0.413924306,0.303615362,0.539961827,0.462119199,0.689996893,1,0,0.823519707,0.00262822,0.24836428,0.014454656,0.077166013,0.268191386,0.316520468
Aretha Franklin,927555,0.534353647,0.430322222,0.573393806,0.500688986,0.708361152,1,0,0.606796466,0.006103258,0.257902742,0.039661506,0.107872497,0.381066166,0.316520468
Doris Day,189644,0.385934876,0.160719847,0.332990119,0.450561657,0.599525367,1,0,0.879632896,0.008650644,0.193660093,0.026516742,0.078161538,0.171166494,0.312134503
George Strait,944084,0.617554085,0.483404289,0.562376622,0.52200036,0.686405594,1,0.818181818,0.326255044,0.004878035,0.178529013,0.008534627,0.088239674,0.502956008,0.310672515
Van Morrison,307461,0.534395047,0.502566125,0.60321428,0.499001882,0.696169747,1,0.636363636,0.401872881,0.026128185,0.226205767,0.036044109,0.144282684,0.431804119,0.305555556
Pink Floyd,346336,0.343532181,0.414643485,0.241357406,0.485844548,0.601823334,1,0.636363636,0.389894492,0.307996781,0.355395061,0.038578094,0.168273017,0.559134013,0.301900585
Taylor Swift,472102,0.594372734,0.637231257,0.42332689,0.521406702,0.821175147,1,0.636363636,0.180341711,0.000464331,0.148323803,0.031410563,0.121344973,0.705674086,0.292397661
Sam Cooke,238115,0.434621172,0.450590375,0.603019682,0.46829427,0.720126091,1,0.636363636,0.702104319,0.000262906,0.283478998,0.041615075,0.0780482,0.35961869,0.288011696
Billy Joel,85915,0.522441892,0.614058601,0.546344887,0.518953123,0.744265956,1,0,0.367879203,0.021777102,0.25629977,0.03810066,0.134872038,0.495581876,0.287280702
Eric Clapton,187478,0.556041536,0.562273505,0.657334002,0.483255354,0.69764406,1,0.636363636,0.359004531,0.155325231,0.346745248,0.031168452,0.141460566,0.444572379,0.281432749
Kiss,84209,0.478096701,0.857418649,0.551233871,0.561771131,0.79907145,1,0.090909091,0.171375589,0.075547999,0.34189451,0.062851869,0.113500674,0.442957792,0.278508772
Sarah Vaughan,204901,0.358765499,0.216029506,0.286919519,0.450306561,0.639716159,1,0.909090909,0.873124918,0.00054564,0.229150184,0.028506947,0.092264765,0.189689252,0.277777778
John Williams,232480,0.216406978,0.17456647,0.15443106,0.415555093,0.453852178,1,0.181818182,0.848478417,0.752221816,0.142610864,0.024258931,0.127125587,0.464465347,0.275584795
John Williams,1535255,0.216406978,0.17456647,0.15443106,0.415555093,0.453852178,1,0.181818182,0.848478417,0.752221816,0.142610864,0.024258931,0.127125587,0.464465347,0.275584795
Talking Heads,131650,0.68981223,0.68481117,0.793320464,0.51171873,0.740940506,1,0.181818182,0.146743808,0.121686195,0.278570597,0.027798964,0.134810632,0.447195206,0.274853801
Nat King Cole,317093,0.401829083,0.283835583,0.4264197,0.439848805,0.640143791,1,0,0.792115201,0.079857727,0.173298335,0.02992484,0.074601818,0.301470347,0.274853801
Jimmy Buffett,350840,0.630362206,0.461286005,0.671710443,0.520567557,0.645625797,1,0.636363636,0.372719049,0.009399843,0.182409439,0.021972955,0.113593875,0.425189115,0.274853801
Michael Jackson,467203,0.713833732,0.692962676,0.627572367,0.495891213,0.793846064,1,1,0.256324983,0.047260654,0.191975119,0.049326547,0.138019532,0.600238308,0.271929825
Charles Mingus,9680,0.408359614,0.301701279,0.409145078,0.45150571,0.592559197,1,0.454545455,0.694528077,0.245167682,0.216886008,0.042757166,0.218003282,0.205424003,0.266812865
The Cure,137390,0.562560788,0.698999431,0.571320852,0.561402492,0.75721442,1,0.818181818,0.182621335,0.329728017,0.196312755,0.035903918,0.135684517,0.394277334,0.263888889
Genesis,199995,0.399019689,0.564165798,0.365180875,0.497705451,0.696180733,1,0.636363636,0.255520503,0.108178694,0.257704358,0.025374412,0.184499271,0.375982043,0.240497076
Bill Evans Trio,781423,0.440962385,0.189099944,0.262840325,0.412180119,0.493000202,0,0,0.870157327,0.711910345,0.232398636,0.018953448,0.173587557,0.267690455,0.239035088
R.E.M.,325459,0.436028209,0.692867942,0.654688576,0.595398917,0.738882893,1,0.181818182,0.143534725,0.11692579,0.176056908,0.019409314,0.115758928,0.454884926,0.236111111
Otis Redding,414251,0.623450489,0.395172559,0.628166404,0.556972312,0.694598657,1,0.818181818,0.444079398,0.01493705,0.199767507,0.035337657,0.081888345,0.410455723,0.236111111
Bruce Springsteen,530745,0.437585073,0.623856539,0.523048496,0.525776315,0.702857384,1,0.454545455,0.237777415,0.023084266,0.403344082,0.03023374,0.143644965,0.545679012,0.233187135
The Moody Blues,404434,0.325040963,0.488688373,0.397891292,0.47331679,0.693890989,1,0.818181818,0.410596065,0.201323355,0.250764135,0.023029082,0.125476709,0.331475676,0.23245614
Asha Bhosle,615026,0.54425624,0.384173062,0.717583552,0.484531926,0.713350768,1,0.272727273,0.921554478,0.175637065,0.224793975,0.151942044,0.118228835,0.061612291,0.23245614
Eagles,144847,0.508745753,0.547358217,0.562220185,0.482293606,0.731911949,1,0.636363636,0.302551277,0.070432032,0.349725694,0.014517023,0.138042022,0.557613169,0.227339181
Peggy Lee,256349,0.567678522,0.231560616,0.511077494,0.481590001,0.641513413,1,0.636363636,0.811856209,0.018072875,0.171277664,0.030233054,0.075879227,0.233974359,0.227339181
Nirvana,355142,0.398195007,0.763805263,0.431563789,0.588424142,0.767015168,1,0.090909091,0.108217051,0.110098112,0.174543134,0.040974074,0.105279429,0.569325736,0.227339181
Nirvana,357406,0.398195007,0.763805263,0.431563789,0.588424142,0.767015168,1,0.090909091,0.108217051,0.110098112,0.174543134,0.040974074,0.105279429,0.569325736,0.227339181
Peggy Lee,467749,0.567678522,0.231560616,0.511077494,0.481590001,0.641513413,1,0.636363636,0.811856209,0.018072875,0.171277664,0.030233054,0.075879227,0.233974359,0.227339181
John Prine,814751,0.537575841,0.353908308,0.625592702,0.548207844,0.589199414,1,0.636363636,0.560913112,0.004602893,0.213348185,0.017307407,0.102212074,0.438810979,0.225146199
Sonny Rollins,39656,0.513034889,0.38115162,0.588201275,0.470761244,0.645102301,1,0,0.655110353,0.236847514,0.220728565,0.048825292,0.217255917,0.186507937,0.224415205
James Taylor,204386,0.595614231,0.339726808,0.506070677,0.455606718,0.624086873,1,0,0.550496989,0.015296069,0.200582078,0.017745306,0.105253537,0.43618727,0.224415205
James Taylor,600069,0.595614231,0.339726808,0.506070677,0.455606718,0.624086873,1,0,0.550496989,0.015296069,0.200582078,0.017745306,0.105253537,0.43618727,0.224415205
Chet Baker,94210,0.472103626,0.187369956,0.379080476,0.466975479,0.586690685,1,0,0.905286625,0.457080765,0.147571336,0.023959539,0.123642094,0.295648654,0.222222222
Rush,203008,0.416281129,0.780393409,0.466703397,0.566940348,0.746110859,1,0.181818182,0.091986364,0.100390474,0.336255529,0.031053543,0.192755111,0.444039668,0.222222222
Prince,361393,0.703459619,0.549121153,0.627035656,0.509224813,0.672987218,1,0.090909091,0.199874242,0.064397245,0.218783025,0.054901939,0.162319185,0.506502058,0.218567251
AC/DC,574772,0.44092559,0.850883524,0.490730802,0.556298535,0.851731302,1,0.818181818,0.030362239,0.233859791,0.291173289,0.05224647,0.136663545,0.602962963,0.218567251
Prince,1426748,0.703459619,0.549121153,0.627035656,0.509224813,0.672987218,1,0.090909091,0.199874242,0.064397245,0.218783025,0.054901939,0.162319185,0.506502058,0.218567251
Prince,1589051,0.703459619,0.549121153,0.627035656,0.509224813,0.672987218,1,0.090909091,0.199874242,0.064397245,0.218783025,0.054901939,0.162319185,0.506502058,0.218567251
Ramones,490004,0.400958638,0.881584708,0.738111897,0.744853016,0.857387631,1,0.818181818,0.052302439,0.107751825,0.210343586,0.045451983,0.063435795,0.425675676,0.215643275
Neil Young,379125,0.489197903,0.396091082,0.490249957,0.541851247,0.655708103,1,0.636363636,0.462658977,0.047456892,0.254510146,0.015496421,0.130769288,0.476610397,0.214181287
Julie London,247966,0.39114437,0.18739776,0.259593465,0.427582097,0.615541683,1,0.909090909,0.818327923,0.006846253,0.159317462,0.025499557,0.069435031,0.261500085,0.212719298
Los Tigres del Norte,806336,0.764010576,0.518156753,0.909478911,0.526233065,0.74374238,1,0.818181818,0.380807778,0.00015964,0.157884694,0.10241431,0.088604682,0.539761601,0.21125731
Stan Getz,742899,0.477434914,0.235886532,0.520695598,0.468701846,0.565244908,1,0.454545455,0.881396546,0.322241854,0.158095518,0.026090658,0.163122082,0.266141868,0.209064327
Green Day,154544,0.367023562,0.898315438,0.660364079,0.609216971,0.864972999,1,0.090909091,0.018572314,0.020816693,0.192515438,0.051669949,0.099907193,0.591669962,0.204678363
Marty Robbins,858710,0.565179131,0.338160417,0.545958828,0.475882872,0.683135152,1,0.363636364,0.803016136,0.00860066,0.179135262,0.018563356,0.084719178,0.311673477,0.204678363
Bill Evans,61912,0.458067313,0.224619019,0.345477153,0.414080554,0.536540322,1,0,0.882723633,0.652308787,0.128585916,0.021274604,0.166350933,0.319797178,0.203947368
Bill Evans,74005,0.458067313,0.224619019,0.345477153,0.414080554,0.536540322,1,0,0.882723633,0.652308787,0.128585916,0.021274604,0.166350933,0.319797178,0.203947368
Bill Evans,764702,0.458067313,0.224619019,0.345477153,0.414080554,0.536540322,1,0,0.882723633,0.652308787,0.128585916,0.021274604,0.166350933,0.319797178,0.203947368
Bee Gees,43714,0.54238323,0.51012675,0.598191298,0.433456691,0.697602025,1,0.636363636,0.248667713,0.047453692,0.24346697,0.017626974,0.114498593,0.525356831,0.195906433
"Hank Williams, Jr.",117844,0.61061841,0.530936723,0.653884469,0.486196441,0.681064744,1,0.181818182,0.236101179,0.000940432,0.150424219,0.021847108,0.097460343,0.444352655,0.195906433
Journey,291043,0.374270505,0.742344285,0.414025039,0.558242406,0.791780255,1,0.181818182,0.122322045,0.02528492,0.295407951,0.030560182,0.122988517,0.47767222,0.195906433
Depeche Mode,239921,0.605904654,0.686706553,0.607144564,0.520383164,0.7116976,1,0,0.242972617,0.231623361,0.216748905,0.018366002,0.138415055,0.427844824,0.194444444
Wings,956707,0.490621973,0.476611771,0.534104652,0.509880192,0.672507451,1,0.181818182,0.318190842,0.053908106,0.32319096,0.026174229,0.124664564,0.431170519,0.19371345
Neil Diamond,864209,0.442394617,0.428297271,0.513356366,0.447407242,0.646530815,1,0.818181818,0.414478068,0.045353823,0.220912898,0.021644424,0.100032523,0.438900536,0.192982456
Electric Light Orchestra,163229,0.467505706,0.564867842,0.529575012,0.518346211,0.727028595,1,0.818181818,0.452716602,0.066104502,0.264121609,0.018278096,0.126426259,0.486531987,0.192251462
Aerosmith,604852,0.407911924,0.790457608,0.534007565,0.551555278,0.783012949,1,0.818181818,0.078825248,0.034163837,0.261657558,0.026212056,0.138378665,0.498035915,0.192251462
