id,name,influence_score,rank,out_degree,in_degree
754032,The Beatles,1.0,1,615,31
66915,Bob Dylan,0.5938190826011309,2,389,29
894465,The Rolling Stones,0.44613738182951673,3,319,39
549797,Hank Williams,0.3858795323083406,4,184,3
531986,David Bowie,0.36692296483852493,5,238,25
354105,Jimi Hendrix,0.3281523746407752,6,201,32
423829,Miles Davis,0.32510145283752984,7,160,16
139026,Led Zeppelin,0.32426602122087017,8,221,24
180228,Elvis Presley,0.3201477797367434,9,166,16
128099,James Brown,0.31953441484309436,10,154,15
238115,Sam Cooke,0.317173646393972,11,128,6
79016,Billie Holiday,0.3075292438038005,12,106,2
211758,Charlie Parker,0.30360552299108207,13,95,8
100160,The Kinks,0.30324324927473184,14,192,8
120521,Chuck Berry,0.30117838762715476,15,159,12
287604,Louis Jordan,0.29403177610265646,16,53,2
316834,Marvin Gaye,0.28772247390407196,17,169,18
41874,The Beach Boys,0.2870338994568109,18,186,13
577531,Woody Guthrie,0.2826181502529603,19,80,0
840402,The Velvet Underground,0.27724914911572407,20,181,8
259529,Lester Young,0.27590102050752835,21,51,1
848784,Roy Acuff,0.27519179275281525,22,50,0
617196,Brian Eno,0.273842031263239,23,135,15
608701,Muddy Waters,0.2728447418054273,24,113,5
418740,Sex Pistols,0.2723543229095262,25,153,23
771438,Black Sabbath,0.2694640783267044,26,171,12
622805,Stevie Wonder,0.26494868564323404,27,138,11
46861,Ray Charles,0.26257048417524853,28,113,7
175553,John Coltrane,0.25924760788445467,29,118,15
577627,The Who,0.2536987867783025,30,149,20
631774,The Byrds,0.2465353499508594,31,158,20
276085,Howlin' Wolf,0.24529712175645407,32,99,2
104714,Kraftwerk,0.24213506649187086,33,108,8
162677,Dizzy Gillespie,0.2404116209060737,34,61,6
346336,Pink Floyd,0.24029798180980957,35,142,16
467203,Michael Jackson,0.23789783256410013,36,101,21
317093,Nat King Cole,0.2378790804311174,37,65,1
805930,Charlie Christian,0.23169677754513682,38,35,1
532957,Cab Calloway,0.23093878916202992,39,27,0
75747,The Clash,0.22985492828660128,40,136,26
824022,Little Richard,0.22612879013265963,41,88,9
490004,Ramones,0.22411479835852946,42,127,33
81083,Bill Monroe,0.22069938566197406,43,59,2
403120,The Mills Brothers,0.22065251156470703,44,35,1
379125,Neil Young,0.22040896151046188,45,148,31
792507,Frank Sinatra,0.21871710292063234,46,71,9
200775,Ernest Tubb,0.21742135401240317,47,52,0
414251,Otis Redding,0.2153621152163686,48,99,13
361393,Prince,0.21135507881518756,49,90,32
816890,Johnny Cash,0.2093936927873981,50,112,11
184502,Ella Fitzgerald,0.2077986000686249,51,75,3
927555,Aretha Franklin,0.2072477707896943,52,95,16
410219,Merle Haggard,0.2063576428053356,53,100,14
852855,Roxy Music,0.20629528734346694,54,103,17
562304,The Stooges,0.20215727638097095,55,116,21
538677,Buddy Holly,0.20134168170534955,56,97,8
489303,The Yardbirds,0.19596675991840434,57,105,17
3829,T-Bone Walker,0.1933735141210753,58,48,2
446509,Metallica,0.19295013521056162,59,112,29
112462,Cream,0.19265389306640446,60,91,13
192382,Deep Purple,0.19042343121664723,61,95,15
237205,Madonna,0.1889899358283597,62,77,25
270491,Joni Mitchell,0.18455987665198265,63,116,17
357406,Nirvana,0.18361943805624092,64,110,39
82584,Billy Eckstine,0.18332979003784786,65,33,2
821571,Smokey Robinson,0.18314256742939572,66,84,12
325459,R.E.M.,0.17923277226336043,67,85,30
91650,Black Flag,0.17759620537590284,68,93,18
219203,U2,0.17652136613506952,69,81,22
640675,Bud Powell,0.17611084726142234,70,38,2
144458,Curtis Mayfield,0.1753762060277479,71,73,13
266160,Pete Seeger,0.17392331338215225,72,47,4
137494,Fats Domino,0.17276696563375457,73,51,6
44764,Blondie,0.1695837316034761,74,62,21
290812,Joy Division,0.16895125509650455,75,84,15
490416,Thelonious Monk,0.1689001221093272,76,51,1
38490,The Band,0.16808645720239498,77,82,20
