id,PC-1,PC-2,PC-3,PC-4,PC-5,genre,kmeans_10,kmeans_weighted_10,kmeans_20,kmeans_weighted_20
792507,-0.360676876,0.432199999,-0.085413023,-0.050124591,-0.272326288,20,5,6,8,9
816890,-0.199649119,0.140007291,-0.479271158,-0.280971059,0.038320565,6,4,6,17,17
79016,-0.400417004,0.520684742,-0.105049062,-0.271503333,-0.126847991,20,9,6,8,9
66915,-0.220925461,0.103795335,-0.197679408,-0.111755134,-0.084227577,14,5,6,17,17
894465,-0.220612138,-0.113939058,0.490924056,0.019926841,0.097387842,14,8,4,11,1
41874,-0.126909117,-0.053636603,-0.342789325,-0.046057165,0.044444401,14,6,7,19,14
180228,-0.404797593,0.34405326,0.38757868,-0.206436884,-0.039795371,14,9,1,12,15
26350,-0.411205306,0.787801976,-0.317759712,0.232442127,0.047981417,4,5,6,5,17
423829,0.515282868,0.773791357,0.514412898,-0.054060073,-0.132905604,11,7,5,4,4
184502,-0.470526179,0.537790527,0.345684898,-0.131746751,-0.259548953,20,9,1,8,15
813392,-0.358025819,0.483459294,-0.278405926,-0.185416071,-0.160517864,20,5,6,5,9
858827,-0.215321265,-0.065578437,0.293392213,0.067643962,-0.177011081,14,1,4,6,1
132940,-0.459752543,0.582305634,0.256298543,-0.161948676,0.121241991,10,9,1,12,9
803752,-0.393805552,0.807321486,-0.306786104,0.293091717,0.525381143,4,5,6,17,17
754032,-0.272343558,0.000948296,0.460383432,-0.089387539,-0.020428164,14,8,4,11,1
182900,-0.119085608,-0.060689471,-0.339987721,-0.042699124,0.062979804,14,6,7,19,14
139026,-0.183698504,-0.122798333,0.311183522,0.15625466,-0.040912723,14,1,4,7,1
69402,-0.055936934,-0.2636549,-0.302702169,-0.21792868,0.136000022,16,10,9,16,20
411761,-0.280308358,0.34476656,-0.429823533,-0.106627082,-0.174383914,20,5,6,5,17
796734,-0.265222188,-0.022529881,0.464335883,-0.054810036,-0.104055899,14,8,4,6,1
622805,-0.256012371,-0.006000584,0.369853435,-0.12025115,-0.020277533,15,8,4,11,1
316834,0.635691424,0.401614619,0.588314378,-0.164827352,0.013825682,15,7,8,2,6
239859,-0.413291552,0.731366645,-0.123362657,0.330398631,-0.028101669,4,5,6,5,9
577627,-0.173642042,-0.179761058,0.319120943,0.083483509,-0.090128991,14,1,3,7,11
583959,-0.34071298,0.266742879,0.22272698,-0.141804774,-0.101747696,6,9,1,12,15
988440,-0.141707003,-0.00948165,-0.35094713,-0.064989723,0.063616652,14,6,7,19,14
175553,-0.405111106,0.402944154,0.381267368,-0.013427567,-0.107079711,11,9,1,6,15
490416,-0.362148347,0.578117544,-0.091857681,0.160402181,0.160684878,11,5,6,8,9
197424,-0.231400478,0.123286601,-0.204074753,-0.141982064,-0.110875616,12,5,6,17,9
489316,-0.505945258,0.874440525,0.3130785,0.281334139,0.346056099,11,9,1,8,9
446509,-0.057149229,-0.360379319,0.18499818,0.425564877,-0.12203714,14,1,2,20,13
219203,-0.052084678,-0.261685401,-0.205365147,0.205946347,-0.094184427,14,2,2,14,18
531986,-0.23985504,-0.065999506,0.476535111,0.017560729,-0.050634303,14,8,4,7,1
200791,-0.283346636,0.111223957,0.25708607,-0.154642481,0.04560836,6,9,1,12,15
100160,-0.100040689,-0.231073682,-0.128029519,-0.099627595,0.028763753,14,10,10,16,3
883318,-0.13807428,-0.334489782,0.534267299,0.107140701,-0.046445872,14,1,3,7,11
216348,-0.449726938,0.456619549,0.361403246,-0.213552497,-0.15746246,12,9,1,12,15
927555,-0.361035696,0.224304577,0.411197448,-0.193241423,-0.08660654,15,9,1,12,15
189644,-0.500183552,0.62693356,0.327271019,-0.123359204,-0.2913683,20,9,1,8,15
944084,-0.114276781,-0.097870283,-0.337840957,-0.118198818,-0.034309788,6,6,7,19,14
307461,-0.169278591,-0.029215404,-0.17029021,-0.117150149,-0.030244235,14,4,6,17,19
346336,-0.201553023,0.17815514,-0.198018688,0.335250373,-0.134242704,14,5,6,9,17
472102,-0.079841694,-0.249624247,-0.122806461,0.025905665,-0.129423783,14,2,2,14,8
238115,-0.264516946,0.199013679,-0.220355789,-0.189235737,-0.096205246,15,5,6,17,9
85915,-0.263483021,-0.028001294,0.465923025,-0.066167594,-0.082759108,14,8,4,11,1
187478,-0.145111889,-0.066856658,-0.156398997,-0.046525064,0.09344558,14,6,7,19,2
84209,-0.14905149,-0.293698398,0.434215375,0.081760556,-0.048752511,14,1,3,7,11
204901,-0.313562043,0.479113377,-0.549977719,-0.0657784,-0.320484061,20,5,6,5,17
232480,-0.468886569,0.854497322,0.134756063,0.539142716,0.077724163,18,5,6,8,9
131650,-0.142141522,-0.267591328,0.33821732,-0.12469315,0.205346333,14,8,3,15,11
317093,-0.449890898,0.501066684,0.356797964,-0.092100143,-0.169692913,11,9,1,12,15
350840,-0.164981985,-0.043942631,-0.168275117,-0.201010792,0.037657731,14,4,6,1,19
467203,-0.01298588,-0.298647328,-0.474827355,-0.109481858,0.075107994,15,6,9,18,20
9680,-0.333567117,0.421703882,-0.072365846,0.063089249,-0.05408248,11,5,6,8,9
137390,-0.033461825,-0.229955174,-0.293910679,0.185471034,0.18812947,14,6,9,18,18
199995,-0.1299883,-0.084540719,-0.152822279,0.173353316,-0.162003628,14,2,7,9,2
781423,0.429559476,1.167121429,0.456799931,0.272478462,0.122192701,11,7,5,4,4
325459,-0.152426514,-0.234693525,0.331451608,0.048049409,0.044312722,14,1,3,7,11
414251,-0.157950907,0.010827517,-0.36108467,-0.196889038,0.004574733,15,4,7,19,14
530745,-0.145295218,-0.165545291,0.04067405,0.031142476,-0.123625822,14,1,3,20,13
404434,-0.152190908,0.063069507,-0.362000555,0.19022784,-0.103859007,14,5,7,9,14
615026,-0.395979252,0.447139248,0.098531628,-0.262787289,0.11995094,10,9,1,12,9
144847,-0.135163362,-0.106733613,-0.151508979,-0.016934545,-0.04207016,14,6,7,10,2
256349,-0.331314226,0.410694287,-0.263275041,-0.244473433,-0.098346458,20,5,6,17,9
355142,-0.153971085,-0.245130437,0.426272705,0.201463458,-0.111352794,14,1,3,7,13
357406,-0.153971085,-0.245130437,0.426272705,0.201463458,-0.111352794,14,1,3,7,13
467749,-0.331314226,0.410694287,-0.263275041,-0.244473433,-0.098346458,1,5,6,17,9
814751,-0.242780894,0.159503157,-0.211634938,-0.21137368,-0.033783628,14,4,6,17,9
39656,-0.385188103,0.358584315,0.39374627,-0.065964541,0.079425586,11,9,1,12,15
