id,name,influence_score,rank,out_degree,in_degree
754032,The Beatles,1.0,1,615,31
532957,Cab Calloway,0.6027680853308598,2,27,0
66915,Bob Dylan,0.6022550433919311,3,389,29
287604,Louis Jordan,0.5924372232270052,4,53,2
79016,Billie Holiday,0.5680342294860078,5,106,2
259529,Lester Young,0.49178786035324634,6,51,1
894465,The Rolling Stones,0.4306108874022893,7,319,39
848784,Roy Acuff,0.4248448775484194,8,50,0
549797,Hank Williams,0.42292131230306695,9,184,3
577531,Woody Guthrie,0.38383400492496494,10,80,0
3829,T-Bone Walker,0.372709389665578,11,48,2
120521,Chuck Berry,0.37023451726236256,12,159,12
403120,The Mills Brothers,0.3517628387221046,13,35,1
180228,Elvis Presley,0.3380337877604698,14,166,16
128099,James Brown,0.33660552863556686,15,154,15
608701,Muddy Waters,0.3343373693232252,16,113,5
317093,Nat King Cole,0.33366282003157577,17,65,1
354105,Jimi Hendrix,0.32956734209385885,18,201,32
46861,Ray Charles,0.3260398597398914,19,113,7
238115,Sam Cooke,0.31333195598802305,20,128,6
531986,David Bowie,0.3070251659418497,21,238,25
423829,Miles Davis,0.2943123741785245,22,160,16
805930,Charlie Christian,0.2906940585761533,23,35,1
824022,Little Richard,0.29057822043857356,24,88,9
100160,The Kinks,0.28285366792869876,25,192,8
200775,Ernest Tubb,0.28208353726979146,26,52,0
840402,The Velvet Underground,0.27532172693695334,27,181,8
82584,Billy Eckstine,0.27313452079194633,28,33,2
162677,Dizzy Gillespie,0.2708668025569367,29,61,6
211758,Charlie Parker,0.26993357266780166,30,95,8
276085,Howlin' Wolf,0.2578933870652782,31,99,2
139026,Led Zeppelin,0.251261047733048,32,221,24
41874,The Beach Boys,0.24203111781963046,33,186,13
316834,Marvin Gaye,0.24001603764123652,34,169,18
577627,The Who,0.23832520916621616,35,149,20
418740,Sex Pistols,0.2378089717977662,36,153,23
898331,Mississippi Fred McDowell,0.23596385543306744,37,17,0
175553,John Coltrane,0.2301241881516761,38,118,15
343396,Roy Brown,0.21941117684962053,39,34,5
81083,Bill Monroe,0.2177546462021971,40,59,2
617196,Brian Eno,0.20948554826989121,41,135,15
13511,Sister Rosetta Tharpe,0.20817790103816722,42,13,3
346336,Pink Floyd,0.20756996135509617,43,142,16
631774,The Byrds,0.20420293930324274,44,158,20
771438,Black Sabbath,0.20392415416110474,45,171,12
184502,Ella Fitzgerald,0.20159423397724954,46,75,3
538677,Buddy Holly,0.19898037863505297,47,97,8
622805,Stevie Wonder,0.19816847386510725,48,138,11
898336,Mississippi Sheiks,0.19702013551518138,49,3,0
753094,Son House,0.19051700207815236,50,22,1
104714,Kraftwerk,0.1886096364369483,51,108,8
489303,The Yardbirds,0.18496456276461865,52,105,17
