,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Max Clustering
Avant-Garde,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.3076923076923077
Blues,29.0,10.0,0.0,1.0,6.0,0.0,3.0,1.0,0.0,6.0,4.0,6.0,0.0,2.0,11.0,0.0,2.0,21.0,0.28431372549019607
Classical,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.45454545454545453
Comedy/Spoken,3.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,25.0,0.0,0.0,0.0,3.0,5.0,0.5434782608695652
Country,106.0,56.0,12.0,64.0,2.0,3.0,6.0,8.0,1.0,45.0,18.0,3.0,1.0,12.0,38.0,0.0,0.0,31.0,0.26108374384236455
Easy Listening,2.0,1.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.36363636363636365
Electronic,1.0,11.0,9.0,26.0,7.0,11.0,9.0,47.0,0.0,5.0,5.0,39.0,0.0,0.0,18.0,3.0,14.0,1.0,0.22815533980582525
Folk,17.0,5.0,0.0,0.0,7.0,1.0,3.0,2.0,0.0,22.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,33.0,0.3473684210526316
International,11.0,6.0,1.0,2.0,4.0,5.0,1.0,2.0,1.0,9.0,3.0,5.0,0.0,6.0,5.0,4.0,1.0,6.0,0.1527777777777778
Jazz,13.0,15.0,0.0,4.0,79.0,63.0,12.0,35.0,1.0,15.0,2.0,17.0,1.0,12.0,12.0,11.0,5.0,111.0,0.27205882352941174
Latin,20.0,16.0,2.0,30.0,8.0,1.0,1.0,4.0,0.0,18.0,1.0,24.0,0.0,5.0,31.0,1.0,1.0,8.0,0.18128654970760233
New Age,0.0,0.0,0.0,0.0,3.0,22.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.5789473684210527
Pop/Rock,127.0,274.0,476.0,334.0,32.0,26.0,82.0,148.0,8.0,253.0,250.0,142.0,1.0,107.0,333.0,7.0,176.0,29.0,0.1696969696969697
R&B;,69.0,141.0,8.0,57.0,21.0,1.0,9.0,7.0,0.0,49.0,18.0,156.0,1.0,18.0,96.0,0.0,8.0,10.0,0.23318385650224216
Reggae,8.0,42.0,0.0,9.0,1.0,0.0,0.0,5.0,0.0,1.0,3.0,37.0,1.0,3.0,29.0,0.0,1.0,4.0,0.2916666666666667
Religious,1.0,8.0,9.0,6.0,1.0,1.0,17.0,0.0,0.0,23.0,4.0,2.0,0.0,2.0,8.0,1.0,3.0,3.0,0.25842696629213485
Stage & Screen,0.0,0.0,0.0,0.0,3.0,27.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.54
Vocal,19.0,0.0,0.0,0.0,12.0,1.0,7.0,0.0,4.0,21.0,1.0,2.0,1.0,6.0,2.0,0.0,1.0,79.0,0.5064102564102564
