,SS,influential
759491,1.7752093968498386,high
25462,1.3224622408101814,high
66915,1.048618027927936,high
71209,1.5177584590073965,high
91438,1.875737234462983,high
113823,1.3014212552737479,high
132710,0.9879420880650742,low
208582,1.475110869682515,high
378288,1.100751064177616,high
397880,1.0643238205410777,high
489999,1.5006018827344323,high
492331,1.7506413905092142,high
615119,1.2055298957346339,high
651107,1.3951497050106605,high
747445,1.8868336047878318,high
755156,1.5264660683425009,high
838272,1.5386106499407375,high
895136,1.49381134846454,high
899530,1.7325620253396776,high
960690,1.413835314454378,high
988638,1.2841879973991077,high
75264,1.6742421687893847,high
91650,1.3158438379989028,high
112789,1.9605124668734026,high
134729,1.014292784768345,high
175775,1.7216548736761237,high
295756,1.6869142019489052,high
359326,2.094621696397548,high
446509,1.4978803472112916,high
485135,2.0640235429003817,high
579839,1.9000360489715475,high
741746,1.8296503906118284,high
789064,2.565990648058968,low
790820,1.1939295527552485,high
796045,1.8365790132520674,high
806829,2.101298329264494,high
825087,1.6507249559319237,high
863790,2.5316077580283918,high
883318,1.6016981407275328,high
151290,nan,0
286662,1.3408475680987446,high
748421,1.0086828570316073,high
5953,1.9275556944542174,high
12654,1.486966636189044,high
59537,0.809020391448746,high
61938,nan,0
81493,1.61932961730783,high
84209,1.5374329703816727,high
130932,2.0682771486032783,high
139026,1.332904420415046,high
182598,1.503245261558182,high
187581,1.7110142764520362,high
200968,1.741948255732234,high
349157,1.4764996467722507,high
354105,1.937271827259565,high
379125,1.743523967869518,high
390390,1.751492390626842,high
485791,1.3403321463080797,high
490004,1.6527985708260375,high
503913,1.9401174080601618,high
562304,1.6723529400029697,high
574772,1.8110461487105187,high
604852,2.29766743272524,high
623985,1.8182253744259163,high
754032,1.1073503272404945,high
771438,1.6419850022895552,high
772567,1.7259540105644453,high
840402,1.516008539849419,high
8828,1.6867883842690234,high
81403,1.5791702139672648,high
546214,2.2118212586660464,high
628467,1.8809478784920397,high
13384,2.126385625166542,high
19241,1.6263625780017277,high
65397,1.8307170315490437,high
86312,1.5186233335668637,high
99753,1.3606418223115961,high
136640,1.7219440104227444,high
175286,1.6664366327314035,high
210512,1.3497255119080827,high
234325,1.5148500956375874,high
409954,1.4517427227284538,high
749175,1.4873446630126332,high
804289,1.5199913538979033,high
50493,1.8215418831428045,high
96977,1.1037221139035107,high
97325,0.9342934407323178,high
219966,1.1932522459273636,high
561105,1.3253090086465884,high
607053,0.9018826507465215,high
1528006,1.6531366502738591,high
559405,1.9209766761668672,high
156886,1.3083252351498067,high
112017,1.7053036377436548,high
203804,0.95740761529556,low
588679,0.8512417653616983,low
744548,0.8877530815673857,high
38936,1.6814586343336555,high
41874,1.0976972401325913,high
249175,1.2559986482802956,high
639397,1.5882124234562873,high
642542,1.4514585884469478,high
765585,0.7523490886765891,high
781837,nan,0
785283,nan,0
792507,0.8822527464794807,high
798543,nan,0
183867,1.0062807097623512,high
346336,1.2857963389384501,high
423829,0.7951983890026668,high
750519,0.8069522978376108,high
840102,1.7035530884992351,high
988440,1.4515460216856984,high
133969,2.030073847541184,high
7689,1.4390030128633122,high
160690,1.552543963777509,high
208774,1.459540775838017,high
262255,1.547682945715262,high
319347,1.4221532174892944,high
376204,1.7439198447135205,high
802302,1.570249048749568,high
820434,1.782422102993988,high
112462,2.101640069281618,high
176936,1.6924878386675632,high
187478,1.5966935979431194,high
192382,1.866928434668267,high
240865,1.2163561191135799,high
255371,1.0044474210617593,high
489303,1.6677375476802399,high
824599,1.377572545892916,high
831381,0.8599522569805177,high
894465,0.9959265386629994,high
18977,1.2960474065606886,high
19297,2.205758773881435,high
297894,1.6676993205552777,high
517607,1.7872624899816432,high
583618,1.7378658194014596,high
626463,2.6778476622584564,high
859509,1.3933501789201104,high
